time,seconds_elapsed,dBFS
1701897375171000000,0.024,-35.4112548828125
1701897375286000000,0.139000244140625,-35.70535659790039
1701897375386000000,0.238999755859375,-37.55488204956055
1701897375486000000,0.339000244140625,-36.06566619873047
1701897375586000000,0.438999755859375,-37.86115264892578
1701897375686000000,0.539000244140625,-39.39929962158203
1701897375786000000,0.638999755859375,-38.89631271362305
1701897375885000000,0.738,-40.8921012878418
1701897376002000000,0.854999755859375,-37.234779357910156
1701897376109000000,0.962,-38.07960510253906
1701897376218000000,1.070999755859375,-37.058128356933594
1701897376335000000,1.188,-36.22180938720703
1701897376435000000,1.288,-34.45988464355469
1701897376551000000,1.404,-35.718624114990234
1701897376651000000,1.504,-37.43880844116211
1701897376751000000,1.604,-38.84410858154297
1701897376851000000,1.704,-35.7086181640625
1701897376967000000,1.82,-34.24942398071289
1701897377068000000,1.921,-18.102453231811523
1701897377167000000,2.02,-10.584732055664062
1701897377266000000,2.118999755859375,-12.89249324798584
1701897377383000000,2.236,-16.013090133666992
1701897377483000000,2.336,-19.306222915649414
1701897377583000000,2.436,-16.006567001342773
1701897377683000000,2.536,-18.184627532958984
1701897377783000000,2.636,-18.826047897338867
1701897377899000000,2.752,-20.0837345123291
1701897377999000000,2.852,-23.340232849121094
1701897378099000000,2.952,-14.6583890914917
1701897378199000000,3.052,-11.205224990844727
1701897378315000000,3.168,-10.91392993927002
1701897378415000000,3.268,-11.361355781555176
1701897378515000000,3.368,-14.607694625854492
1701897378614000000,3.467000244140625,-18.694881439208984
1701897378731000000,3.584,-17.447986602783203
1701897378831000000,3.684,-17.3057804107666
1701897378931000000,3.784,-19.152799606323242
1701897379030000000,3.883000244140625,-22.416824340820312
1701897379130000000,3.982999755859375,-23.421710968017578
1701897379247000000,4.1,-20.636844635009766
1701897379347000000,4.2,-19.732290267944336
1701897379446000000,4.299000244140625,-9.255932807922363
1701897379563000000,4.416,-12.882498741149902
1701897379663000000,4.516,-14.437036514282227
1701897379763000000,4.616,-16.55112648010254
1701897379862000000,4.715000244140625,-20.020755767822266
1701897379979000000,4.832,-20.226587295532227
1701897380079000000,4.932,-17.903064727783203
1701897380179000000,5.032,-20.547334671020508
1701897380278000000,5.131000244140625,-21.04755210876465
1701897380379000000,5.232,-23.380878448486328
1701897380478000000,5.331000244140625,-24.07748031616211
1701897380595000000,5.448,-27.71185874938965
1701897380695000000,5.548,-30.767324447631836
1701897380795000000,5.648,-32.056739807128906
1701897380894000000,5.747000244140625,-33.03547668457031
1701897380994000000,5.846999755859375,-12.051480293273926
1701897381111000000,5.964,-14.712977409362793
1701897381211000000,6.064,-11.287711143493652
1701897381311000000,6.164,-13.075343132019043
1701897381411000000,6.264,-13.938335418701172
1701897381510000000,6.363000244140625,-16.758163452148438
1701897381627000000,6.48,-14.165619850158691
1701897381727000000,6.58,-18.065998077392578
1701897381827000000,6.68,-19.621612548828125
1701897381926000000,6.779000244140625,-14.389571189880371
1701897382026000000,6.878999755859375,-14.553620338439941
1701897382143000000,6.996,-18.99993324279785
1701897382243000000,7.096,-23.23284149169922
1701897382343000000,7.196,-26.710702896118164
1701897382443000000,7.296,-29.184139251708984
1701897382542000000,7.395000244140625,-27.719112396240234
1701897382659000000,7.512,-13.956445693969727
1701897382759000000,7.612,-15.953071594238281
1701897382859000000,7.712,-10.821002960205078
1701897382959000000,7.812,-10.785165786743164
1701897383058000000,7.910999755859375,-9.504587173461914
1701897383175000000,8.028,-14.825251579284668
1701897383275000000,8.128,-19.282432556152344
1701897383375000000,8.228,-22.680233001708984
1701897383475000000,8.328,-25.564838409423828
1701897383574000000,8.427000244140626,-10.474513053894043
1701897383691000000,8.544,-6.640146732330322
1701897383791000000,8.644,-8.54274845123291
1701897383891000000,8.744,-11.438104629516602
1701897383990000000,8.843000244140624,-15.86850357055664
1701897384090000000,8.942999755859375,-12.660935401916504
1701897384207000000,9.06,-16.390005111694336
1701897384307000000,9.16,-20.58717918395996
1701897384407000000,9.26,-19.464473724365234
1701897384507000000,9.36,-16.40644073486328
1701897384606000000,9.459000244140626,-20.33867073059082
1701897384723000000,9.576,-13.295889854431152
1701897384823000000,9.676,-15.754541397094727
1701897384923000000,9.776,-12.07697582244873
1701897385023000000,9.876,-15.247798919677734
1701897385122000000,9.974999755859375,-13.724942207336426
1701897385239000000,10.092,-13.412961959838867
1701897385339000000,10.192,-15.36398696899414
1701897385439000000,10.292,-18.714168548583984
1701897385539000000,10.392,-18.98854637145996
1701897385638000000,10.491000244140626,-21.59950828552246
1701897385755000000,10.608,-15.636434555053711
1701897385855000000,10.708,-16.59897232055664
1701897385955000000,10.808,-18.38970947265625
1701897386054000000,10.907000244140624,-18.029678344726562
1701897386154000000,11.006999755859376,-18.165868759155273
1701897386271000000,11.124,-14.093526840209961
1701897386371000000,11.224,-17.921506881713867
1701897386471000000,11.324,-17.330150604248047
1701897386571000000,11.424,-12.678227424621582
1701897386687000000,11.54,-16.481155395507812
1701897386787000000,11.64,-13.6057710647583
1701897386887000000,11.74,-16.816118240356445
1701897386986000000,11.838999755859374,-20.360008239746094
1701897387086000000,11.939000244140624,-23.62034034729004
1701897387203000000,12.056,-19.472047805786133
1701897387303000000,12.156,-22.059864044189453
1701897387403000000,12.256,-18.909542083740234
1701897387503000000,12.356,-22.310791015625
1701897387603000000,12.456,-25.870450973510742
1701897387719000000,12.572,-30.363182067871094
1701897387819000000,12.672,-33.253074645996094
1701897387919000000,12.772,-34.22461700439453
1701897388019000000,12.872,-32.352474212646484
1701897388118000000,12.971000244140624,-33.55221939086914
1701897388235000000,13.088,-12.919947624206543
1701897388335000000,13.188,-10.670705795288086
1701897388435000000,13.288,-10.413061141967773
1701897388535000000,13.388,-13.021636962890625
1701897388635000000,13.488,-16.208297729492188
1701897388751000000,13.604,-15.389094352722168
1701897388851000000,13.704,-15.215753555297852
1701897388950000000,13.803000244140625,-19.605222702026367
1701897389050000000,13.902999755859375,-15.688965797424316
1701897389167000000,14.02,-20.884496688842773
1701897389267000000,14.12,-19.842815399169922
1701897389367000000,14.22,-19.19341278076172
1701897389466000000,14.318999755859375,-20.036865234375
1701897389566000000,14.419000244140625,-22.74726104736328
1701897389683000000,14.536,-13.450182914733887
1701897389783000000,14.636,-12.940104484558105
1701897389883000000,14.736,-15.368012428283691
1701897389983000000,14.836,-18.80852508544922
1701897390083000000,14.936,-18.876510620117188
1701897390199000000,15.052,-21.892133712768555
1701897390299000000,15.152,-19.24844741821289
1701897390399000000,15.252,-21.034931182861328
