time,seconds_elapsed,dBFS
1701899832410000000,0.023999755859375,-33.240684509277344
1701899832523000000,0.137,-36.39078140258789
1701899832624000000,0.238,-36.43379211425781
1701899832741000000,0.355,-38.01054763793945
1701899832857000000,0.471,-39.40913772583008
1701899832973000000,0.587,-37.69932174682617
1701899833073000000,0.687,-37.44523620605469
1701899833173000000,0.787,-39.25619888305664
1701899833290000000,0.903999755859375,-24.789674758911133
1701899833390000000,1.004000244140625,-19.754850387573242
1701899833489000000,1.103,-21.580093383789062
1701899833589000000,1.203,-24.47838592529297
1701899833706000000,1.319999755859375,-25.80484962463379
1701899833805000000,1.419,-28.657032012939453
1701899833905000000,1.519,-24.711833953857422
1701899834005000000,1.619,-25.060266494750977
1701899834105000000,1.719,-26.365983963012695
1701899834222000000,1.836000244140625,-24.716657638549805
1701899834322000000,1.935999755859375,-23.639596939086914
1701899834421000000,2.035,-22.832963943481445
1701899834521000000,2.135,-25.937685012817383
1701899834638000000,2.252000244140625,-24.804853439331055
1701899834737000000,2.351,-25.813770294189453
1701899834837000000,2.451,-28.7800350189209
1701899834937000000,2.551,-29.72873306274414
1701899835054000000,2.668000244140625,-26.80622673034668
1701899835153000000,2.767,-25.743526458740234
1701899835253000000,2.867,-24.225418090820312
1701899835353000000,2.967,-24.600740432739258
1701899835470000000,3.084000244140625,-27.064172744750977
1701899835570000000,3.183999755859375,-28.371923446655273
1701899835669000000,3.283,-26.021669387817383
1701899835769000000,3.383,-27.079551696777344
1701899835885000000,3.499,-26.298152923583984
1701899835985000000,3.599,-24.860166549682617
1701899836085000000,3.699,-28.236324310302734
1701899836185000000,3.799,-27.47960662841797
1701899836302000000,3.916000244140625,-27.84316635131836
1701899836401000000,4.015,-21.822235107421875
1701899836501000000,4.115,-21.64072036743164
1701899836601000000,4.215,-24.137859344482422
1701899836718000000,4.332000244140625,-22.797441482543945
1701899836817000000,4.431,-25.039140701293945
1701899836917000000,4.531,-21.28970718383789
1701899837017000000,4.631,-24.173830032348633
1701899837133000000,4.747,-26.608638763427734
1701899837233000000,4.847,-24.79032325744629
1701899837333000000,4.947,-27.743072509765625
1701899837433000000,5.047,-31.07025909423828
1701899837533000000,5.147,-31.954233169555664
1701899837649000000,5.263,-33.78186798095703
1701899837749000000,5.363,-36.274349212646484
1701899837849000000,5.463,-30.349348068237305
1701899837949000000,5.563,-27.863374710083008
1701899838065000000,5.679,-16.238964080810547
1701899838165000000,5.779,-18.18922996520996
1701899838265000000,5.879,-20.74338150024414
1701899838365000000,5.979,-24.792451858520508
1701899838481000000,6.095,-20.21689224243164
1701899838581000000,6.195,-22.812265396118164
1701899838681000000,6.295,-25.09212875366211
1701899838781000000,6.395,-24.62763023376465
1701899838881000000,6.495,-22.312395095825195
1701899838981000000,6.595,-23.90901756286621
1701899839097000000,6.711,-23.574142456054688
1701899839197000000,6.811,-21.02362632751465
1701899839297000000,6.911,-22.690797805786133
1701899839397000000,7.011,-24.90326690673828
1701899839513000000,7.127,-20.339557647705078
1701899839613000000,7.227,-22.805177688598633
1701899839713000000,7.327,-18.761363983154297
1701899839813000000,7.427,-22.390993118286133
1701899839913000000,7.527,-25.227880477905273
1701899840029000000,7.643,-22.128732681274414
1701899840129000000,7.743,-19.104995727539062
1701899840229000000,7.843,-21.094396591186523
1701899840329000000,7.943,-23.044475555419922
1701899840429000000,8.043,-19.750150680541992
1701899840545000000,8.159,-20.717763900756836
1701899840645000000,8.259,-23.444116592407227
1701899840745000000,8.359,-26.42828941345215
1701899840845000000,8.459,-23.929147720336914
1701899840961000000,8.575,-25.596904754638672
1701899841061000000,8.675,-27.589710235595703
1701899841161000000,8.775,-25.687746047973633
1701899841261000000,8.875,-23.75704574584961
1701899841377000000,8.991,-24.21078872680664
1701899841477000000,9.091,-24.43369483947754
1701899841577000000,9.191,-21.75204849243164
1701899841677000000,9.291,-17.439720153808594
1701899841777000000,9.391,-20.375064849853516
1701899841877000000,9.491,-22.77910041809082
1701899841993000000,9.607,-27.17167091369629
1701899842093000000,9.707,-26.440073013305664
1701899842193000000,9.807,-28.306110382080078
1701899842293000000,9.907,-18.750417709350586
1701899842393000000,10.007,-22.626665115356445
1701899842509000000,10.123,-26.07920265197754
1701899842609000000,10.223,-21.295555114746094
1701899842709000000,10.323,-23.666223526000977
1701899842809000000,10.423,-26.137006759643555
1701899842909000000,10.523,-24.591266632080078
1701899843025000000,10.639,-27.81686019897461
1701899843125000000,10.739,-27.162500381469727
1701899843225000000,10.839,-28.13461685180664
1701899843325000000,10.939,-27.552597045898438
1701899843425000000,11.039,-24.127513885498047
1701899843541000000,11.155,-23.875930786132812
1701899843641000000,11.255,-27.20046615600586
1701899843741000000,11.355,-26.897274017333984
1701899843841000000,11.455,-26.852188110351562
1701899843941000000,11.555,-29.362892150878906
1701899844057000000,11.671,-32.28993606567383
1701899844157000000,11.771,-32.050254821777344
1701899844257000000,11.871,-32.04729080200195
1701899844357000000,11.971,-33.72088623046875
1701899844457000000,12.071,-33.30033493041992
1701899844573000000,12.187,-18.43934440612793
1701899844673000000,12.287,-18.13629913330078
1701899844773000000,12.387,-19.86203384399414
1701899844873000000,12.487,-20.936050415039062
1701899844989000000,12.603,-24.334638595581055
1701899845089000000,12.703,-26.908823013305664
1701899845189000000,12.803,-22.3784236907959
1701899845289000000,12.903,-24.196760177612305
1701899845389000000,13.003,-28.140913009643555
1701899845505000000,13.119,-29.120899200439453
1701899845605000000,13.219,-20.634244918823242
1701899845705000000,13.319,-21.055511474609375
1701899845805000000,13.419,-20.537731170654297
1701899845921000000,13.535,-22.855785369873047
1701899846021000000,13.635,-24.426183700561523
1701899846121000000,13.735,-26.659635543823242
1701899846221000000,13.835,-21.584726333618164
1701899846321000000,13.935,-21.81827163696289
1701899846437000000,14.051,-25.485013961791992
1701899846537000000,14.151,-20.437702178955078
1701899846637000000,14.251,-21.994293212890625
1701899846737000000,14.351,-22.83919906616211
1701899846837000000,14.451,-24.25759506225586
1701899846953000000,14.567,-24.09410858154297
1701899847053000000,14.667,-27.14556312561035
1701899847153000000,14.767,-29.64082908630371
1701899847253000000,14.867,-21.70807647705078
1701899847369000000,14.983,-24.83867645263672
1701899847469000000,15.083,-27.23716926574707
1701899847569000000,15.183,-29.956497192382812
1701899847669000000,15.283,-25.4455623626709
1701899847785000000,15.399,-27.545196533203125
1701899847885000000,15.499,-29.454364776611328
1701899847985000000,15.599,-33.04757308959961
1701899848085000000,15.699,-34.97489547729492
1701899848185000000,15.799,-35.74922561645508
1701899848301000000,15.915,-33.81005096435547
