time,seconds_elapsed,dBFS
1701901784844000000,0.036,-36.60732650756836
1701901784951000000,0.143,-35.57267761230469
1701901785051000000,0.243,-34.41606903076172
1701901785151000000,0.343,-36.43037414550781
1701901785268000000,0.46,-38.31574249267578
1701901785368000000,0.56,-13.227453231811523
1701901785468000000,0.66,-10.00113296508789
1701901785568000000,0.76,-9.246039390563965
1701901785684000000,0.876,-12.765281677246094
1701901785783000000,0.975,-8.013802528381348
1701901785884000000,1.076,-8.415824890136719
1701901786000000000,1.192,-10.402566909790039
1701901786100000000,1.292,-10.93885612487793
1701901786200000000,1.392,-10.233633041381836
1701901786300000000,1.492,-11.663323402404785
1701901786416000000,1.608,-8.908706665039062
1701901786517000000,1.709,-10.72005844116211
1701901786615000000,1.807,-12.944098472595215
1701901786715000000,1.907,-13.726426124572754
1701901786832000000,2.024,-9.818624496459961
1701901786932000000,2.124,-11.127838134765625
1701901787032000000,2.224,-11.15836238861084
1701901787132000000,2.324,-12.886160850524902
1701901787248000000,2.44,-12.254324913024902
1701901787348000000,2.54,-12.73128890991211
1701901787448000000,2.64,-15.550567626953125
1701901787547000000,2.739,-10.950778007507324
1701901787664000000,2.856,-14.181586265563965
1701901787764000000,2.956,-18.573816299438477
1701901787864000000,3.056,-12.570944786071777
1701901787963000000,3.155,-9.898036003112793
1701901788080000000,3.272,-10.188431739807129
1701901788180000000,3.372,-5.990754127502441
1701901788280000000,3.472,-8.451050758361816
1701901788396000000,3.588,-7.650077819824219
1701901788496000000,3.688,-9.19800090789795
1701901788596000000,3.788,-13.106661796569824
1701901788695000000,3.887,-12.190264701843262
1701901788795000000,3.987,-14.701282501220703
1701901788912000000,4.104,-12.633391380310059
1701901789012000000,4.204,-16.301925659179688
1701901789112000000,4.304,-10.067493438720703
1701901789228000000,4.42,-9.886796951293945
1701901789328000000,4.52,-10.278404235839844
1701901789427000000,4.619,-12.242581367492676
1701901789527000000,4.719,-15.024457931518555
1701901789644000000,4.836,-9.983427047729492
1701901789743000000,4.935,-9.124335289001465
1701901789843000000,5.035,-12.05052375793457
1701901789960000000,5.152,-13.847695350646973
1701901790060000000,5.252,-10.114317893981934
1701901790160000000,5.352,-13.771960258483887
1701901790260000000,5.452,-9.383557319641113
1701901790359000000,5.551,-12.103381156921387
1701901790459000000,5.651,-14.496719360351562
1701901790576000000,5.768,-14.383862495422363
1701901790675000000,5.867,-10.749441146850586
1701901790775000000,5.967,-12.206189155578613
1701901790875000000,6.067,-16.653100967407227
1701901790992000000,6.184,-21.215927124023438
1701901791092000000,6.284,-25.084964752197266
1701901791191000000,6.383,-28.40102767944336
1701901791291000000,6.483,-12.450446128845215
1701901791408000000,6.6,-13.602118492126465
1701901791508000000,6.7,-7.880321025848389
1701901791607000000,6.799,-7.619112491607666
1701901791707000000,6.899,-11.557270050048828
1701901791824000000,7.016,-9.49858570098877
1701901791923000000,7.115,-10.636640548706055
1701901792023000000,7.215,-10.81667423248291
1701901792123000000,7.315,-9.100539207458496
1701901792240000000,7.432,-11.245949745178223
1701901792340000000,7.532,-8.86540412902832
