time,seconds_elapsed,dBFS
1701897193209000000,0.028,-33.78829574584961
1701897193322000000,0.140999755859375,-35.376678466796875
1701897193422000000,0.241000244140625,-33.131866455078125
1701897193539000000,0.358,-35.21044158935547
1701897193639000000,0.458,-36.543060302734375
1701897193739000000,0.558,-33.545188903808594
1701897193855000000,0.674,-36.001625061035156
1701897193955000000,0.774,-38.24822998046875
1701897194055000000,0.874,-35.622135162353516
1701897194155000000,0.974,-37.693172454833984
1701897194271000000,1.09,-39.17319107055664
1701897194371000000,1.19,-35.60518264770508
1701897194471000000,1.29,-36.78349685668945
1701897194571000000,1.39,-32.790679931640625
1701897194687000000,1.506,-34.98167419433594
1701897194787000000,1.606,-35.38900375366211
1701897194887000000,1.706,-35.16267776489258
1701897194986000000,1.804999755859375,-36.47692108154297
1701897195103000000,1.922,-19.658445358276367
1701897195203000000,2.022,-17.173748016357422
1701897195303000000,2.122,-16.394004821777344
1701897195403000000,2.222,-20.281095504760742
1701897195519000000,2.338,-11.992426872253418
1701897195619000000,2.438,-15.152870178222656
1701897195719000000,2.538,-18.352033615112305
1701897195819000000,2.638,-9.685358047485352
1701897195935000000,2.754,-10.71739387512207
1701897196035000000,2.854,-13.0475435256958
1701897196135000000,2.954,-15.62691593170166
1701897196234000000,3.052999755859375,-15.741747856140137
1701897196351000000,3.17,-20.208425521850586
1701897196451000000,3.27,-19.23265838623047
1701897196551000000,3.37,-8.441786766052246
1701897196651000000,3.47,-9.530444145202637
1701897196767000000,3.586,-9.395193099975586
1701897196867000000,3.686,-10.612728118896484
1701897196967000000,3.786,-14.612308502197266
1701897197067000000,3.886,-15.588253021240234
1701897197183000000,4.002,-14.328718185424805
1701897197283000000,4.102,-11.317480087280273
1701897197383000000,4.202,-13.04411792755127
1701897197483000000,4.302,-17.216596603393555
1701897197599000000,4.418,-12.621966361999512
1701897197699000000,4.518,-14.33735179901123
1701897197799000000,4.618,-12.854509353637695
1701897197899000000,4.718,-13.196531295776367
1701897198015000000,4.834,-13.484975814819336
1701897198115000000,4.934,-14.656532287597656
1701897198215000000,5.034,-16.831804275512695
1701897198315000000,5.134,-21.09064483642578
1701897198431000000,5.25,-24.65183448791504
1701897198548000000,5.367,-27.188566207885742
1701897198665000000,5.484,-30.709850311279297
1701897198764000000,5.583,-29.840227127075195
1701897198864000000,5.683,-16.805082321166992
1701897198980000000,5.799,-13.761015892028809
1701897199080000000,5.899,-12.837151527404785
1701897199180000000,5.999,-10.854754447937012
1701897199280000000,6.099,-11.06447696685791
1701897199380000000,6.199,-13.547866821289062
1701897199496000000,6.315,-18.493755340576172
1701897199596000000,6.415,-22.003896713256836
1701897199696000000,6.515,-11.735114097595215
1701897199796000000,6.615,-12.775213241577148
1701897199912000000,6.731,-14.418596267700195
1701897200012000000,6.831,-18.428401947021484
1701897200112000000,6.931,-12.188741683959961
1701897200228000000,7.047,-16.062847137451172
1701897200336000000,7.155,-15.064008712768555
1701897200445000000,7.264,-9.878957748413086
1701897200561000000,7.38,-13.920720100402832
1701897200661000000,7.48,-12.062779426574707
1701897200761000000,7.58,-10.825522422790527
1701897200878000000,7.697000244140625,-11.576698303222656
1701897200994000000,7.812999755859375,-14.623955726623535
1701897201110000000,7.929000244140625,-19.09134292602539
1701897201210000000,8.028999755859376,-21.10633087158203
1701897201310000000,8.129000244140625,-11.259052276611328
1701897201409000000,8.228,-10.041057586669922
1701897201526000000,8.345000244140625,-10.880051612854004
1701897201626000000,8.444999755859374,-13.527382850646973
1701897201726000000,8.545000244140626,-15.035468101501465
1701897201826000000,8.644999755859375,-10.091697692871094
1701897201942000000,8.761000244140625,-13.698227882385254
1701897202042000000,8.860999755859375,-8.057735443115234
1701897202142000000,8.961000244140624,-9.788410186767578
1701897202242000000,9.060999755859376,-11.771393775939941
1701897202358000000,9.177000244140626,-10.316171646118164
1701897202458000000,9.276999755859375,-12.6695556640625
1701897202558000000,9.377000244140625,-17.151596069335938
1701897202658000000,9.476999755859374,-11.249263763427734
1701897202774000000,9.593000244140624,-11.586198806762695
1701897202874000000,9.692999755859375,-14.658496856689453
1701897202974000000,9.793000244140625,-18.388202667236328
1701897203074000000,9.892999755859375,-12.916641235351562
1701897203190000000,10.009000244140625,-18.414072036743164
1701897203290000000,10.108999755859376,-21.828035354614258
1701897203390000000,10.209000244140626,-15.001877784729004
1701897203490000000,10.308999755859375,-18.01742935180664
1701897203606000000,10.425000244140625,-11.571293830871582
1701897203706000000,10.524999755859374,-16.11393928527832
1701897203806000000,10.625000244140624,-11.850007057189941
1701897203906000000,10.724999755859375,-15.092962265014648
1701897204022000000,10.841000244140625,-12.320536613464355
