time,seconds_elapsed,dBFS
1701899635352000000,0.03,-34.728172302246094
1701899635464000000,0.142,-36.83076858520508
1701899635565000000,0.243,-36.445194244384766
1701899635665000000,0.343,-14.461920738220215
1701899635765000000,0.443,-14.945425987243652
1701899635865000000,0.543,-17.061351776123047
1701899635981000000,0.659,-21.575214385986328
1701899636081000000,0.759,-25.733060836791992
1701899636181000000,0.859,-18.117345809936523
1701899636297000000,0.975,-15.424473762512207
1701899636397000000,1.075,-14.101896286010742
1701899636497000000,1.175,-15.426608085632324
1701899636597000000,1.275,-18.862611770629883
1701899636713000000,1.391,-16.236774444580078
1701899636813000000,1.491,-13.987658500671387
1701899636913000000,1.591,-15.269674301147461
1701899637013000000,1.691,-16.684165954589844
1701899637129000000,1.807,-17.61020278930664
1701899637238000000,1.916000244140625,-15.937090873718262
1701899637345000000,2.023,-15.329463005065918
1701899637462000000,2.140000244140625,-19.055328369140625
1701899637562000000,2.239999755859375,-22.37299156188965
1701899637662000000,2.340000244140625,-19.74456214904785
1701899637778000000,2.455999755859375,-15.142609596252441
1701899637878000000,2.556000244140625,-17.340242385864258
1701899637978000000,2.655999755859375,-17.16209602355957
1701899638094000000,2.772000244140625,-20.86441993713379
1701899638194000000,2.871999755859375,-18.43703269958496
1701899638294000000,2.972000244140625,-21.994224548339844
1701899638394000000,3.071999755859375,-13.919696807861328
1701899638510000000,3.188000244140625,-16.968143463134766
1701899638610000000,3.287999755859375,-16.052217483520508
1701899638710000000,3.388000244140625,-15.870116233825684
1701899638826000000,3.503999755859375,-16.164892196655273
1701899638926000000,3.604000244140625,-18.819250106811523
1701899639025000000,3.703,-16.23650550842285
1701899639126000000,3.804000244140625,-13.155011177062988
1701899639242000000,3.919999755859375,-15.817065238952637
1701899639342000000,4.020000244140625,-17.846580505371094
1701899639442000000,4.119999755859375,-19.89919090270996
1701899639542000000,4.220000244140625,-22.56471061706543
1701899639658000000,4.335999755859375,-16.195695877075195
1701899639758000000,4.436000244140625,-13.761274337768555
1701899639857000000,4.535,-10.824058532714844
1701899639974000000,4.652000244140625,-11.79347038269043
1701899640074000000,4.751999755859375,-12.971331596374512
1701899640174000000,4.852000244140625,-14.657859802246094
1701899640274000000,4.951999755859375,-18.238304138183594
1701899640390000000,5.068000244140625,-12.17977237701416
1701899640490000000,5.167999755859375,-14.657716751098633
1701899640589000000,5.267,-8.76355266571045
1701899640689000000,5.367,-11.06355094909668
1701899640806000000,5.484000244140625,-14.05726432800293
1701899640906000000,5.583999755859375,-16.1721134185791
1701899641005000000,5.683,-14.875299453735352
1701899641122000000,5.799999755859375,-14.140142440795898
1701899641222000000,5.900000244140625,-11.786398887634277
1701899641321000000,5.999,-13.597591400146484
1701899641421000000,6.099,-15.36784839630127
1701899641538000000,6.215999755859375,-15.371548652648926
1701899641637000000,6.315,-17.967695236206055
1701899641738000000,6.415999755859375,-20.195634841918945
1701899641854000000,6.532000244140625,-14.1444673538208
1701899641954000000,6.631999755859375,-15.875239372253418
1701899642053000000,6.731,-16.563962936401367
1701899642153000000,6.831,-13.768516540527344
1701899642270000000,6.948000244140625,-17.684144973754883
1701899642370000000,7.047999755859375,-20.05667495727539
1701899642470000000,7.148000244140625,-12.844442367553711
1701899642570000000,7.247999755859375,-15.248100280761719
1701899642669000000,7.347,-13.711797714233398
1701899642786000000,7.463999755859375,-18.116321563720703
1701899642886000000,7.564000244140625,-14.700103759765625
1701899642985000000,7.663,-15.023890495300293
1701899643085000000,7.763,-13.689669609069824
