time,seconds_elapsed,dBFS
1701897749166000000,0.024000244140625,-32.83570098876953
1701897749276000000,0.134,-36.18793869018555
1701897749376000000,0.234,-38.38795852661133
1701897749493000000,0.351,-37.381256103515625
1701897749593000000,0.451,-38.89475631713867
1701897749692000000,0.55,-37.60035705566406
1701897749793000000,0.651,-33.49570846557617
1701897749909000000,0.767,-35.253116607666016
1701897750008000000,0.866,-32.63026428222656
1701897750108000000,0.966,-34.95307540893555
1701897750208000000,1.066,-36.41196060180664
1701897750325000000,1.183,-33.92898178100586
1701897750425000000,1.283,-35.36616516113281
1701897750524000000,1.382,-30.756362915039062
1701897750641000000,1.499,-22.788667678833008
1701897750741000000,1.599,-21.805601119995117
1701897750841000000,1.699,-24.117387771606445
1701897750941000000,1.799,-27.859498977661133
1701897751057000000,1.915,-26.951627731323242
1701897751156000000,2.014,-27.756500244140625
1701897751256000000,2.114,-30.828073501586914
1701897751373000000,2.231,-27.044214248657227
1701897751473000000,2.331,-28.58308219909668
1701897751572000000,2.43,-29.536012649536133
1701897751672000000,2.53,-31.99538230895996
1701897751789000000,2.647,-29.482036590576172
1701897751888000000,2.746,-30.654125213623047
1701897751988000000,2.846,-27.775087356567383
1701897752105000000,2.963,-28.852405548095703
1701897752205000000,3.063,-29.0517520904541
1701897752304000000,3.162,-28.988733291625977
1701897752404000000,3.262,-29.98139762878418
1701897752521000000,3.379,-33.13716125488281
1701897752620000000,3.478,-30.480148315429688
1701897752720000000,3.578,-32.06919479370117
1701897752837000000,3.695,-25.097869873046875
1701897752937000000,3.795,-25.93755531311035
1701897753036000000,3.894,-26.37204360961914
1701897753136000000,3.994,-23.58771324157715
1701897753237000000,4.095,-24.196006774902344
1701897753336000000,4.194,-25.682048797607422
1701897753436000000,4.294,-27.179868698120117
1701897753553000000,4.411,-26.24852180480957
1701897753653000000,4.511,-26.416500091552734
1701897753753000000,4.611,-27.260393142700195
1701897753869000000,4.727,-30.13039779663086
1701897753969000000,4.827,-29.418651580810547
1701897754068000000,4.926,-24.407169342041016
1701897754168000000,5.026,-26.284751892089844
1701897754285000000,5.143,-25.397727966308594
1701897754385000000,5.243,-25.55617904663086
1701897754484000000,5.342,-26.826509475708008
1701897754584000000,5.442,-29.529296875
1701897754701000000,5.559,-21.38190460205078
1701897754800000000,5.658,-24.296438217163086
1701897754900000000,5.758,-27.526769638061523
1701897755000000000,5.858,-30.018423080444336
1701897755117000000,5.975,-23.15749168395996
1701897755217000000,6.075,-23.762208938598633
1701897755317000000,6.175,-26.441383361816406
1701897755417000000,6.275,-27.15574836730957
1701897755533000000,6.391,-21.461307525634766
1701897755633000000,6.491,-22.718652725219727
1701897755733000000,6.591,-24.026885986328125
1701897755832000000,6.69,-27.537151336669922
1701897755932000000,6.79,-23.109357833862305
1701897756049000000,6.907,-22.98488426208496
1701897756148000000,7.006,-26.113004684448242
1701897756248000000,7.106,-30.043659210205078
1701897756365000000,7.223,-31.722911834716797
1701897756465000000,7.323,-16.753389358520508
1701897756565000000,7.423,-17.45102882385254
1701897756664000000,7.522,-19.412452697753906
1701897756764000000,7.622,-22.06867027282715
1701897756881000000,7.739,-22.793331146240234
1701897756981000000,7.839,-25.854480743408203
1701897757080000000,7.938,-25.747785568237305
1701897757180000000,8.038,-26.686847686767578
1701897757297000000,8.155,-25.240697860717773
1701897757397000000,8.255,-27.182403564453125
1701897757497000000,8.355,-27.82485580444336
1701897757596000000,8.454,-23.08964729309082
1701897757713000000,8.571,-26.17780303955078
1701897757812000000,8.67,-29.342987060546875
1701897757912000000,8.77,-31.83738899230957
1701897758029000000,8.887,-33.931758880615234
1701897758129000000,8.987,-36.08494186401367
1701897758229000000,9.087,-34.0762825012207
1701897758328000000,9.186,-35.279541015625
1701897758445000000,9.303,-22.20962142944336
1701897758545000000,9.403,-24.951030731201172
1701897758645000000,9.503,-26.30461311340332
1701897758744000000,9.602,-28.334022521972656
1701897758844000000,9.702,-25.832744598388672
1701897758961000000,9.819,-16.47040367126465
1701897759061000000,9.919,-17.68788719177246
1701897759160000000,10.018,-20.455720901489258
1701897759277000000,10.135,-24.760393142700195
1701897759384000000,10.242,-28.165433883666992
1701897759493000000,10.351,-31.1085262298584
1701897759610000000,10.467999755859376,-24.6020565032959
1701897759710000000,10.568000244140626,-26.1295166015625
1701897759809000000,10.667,-29.101276397705078
1701897759926000000,10.784000244140625,-28.676496505737305
1701897760026000000,10.883999755859374,-24.050670623779297
1701897760125000000,10.983,-25.514726638793945
1701897760225000000,11.083,-26.536243438720703
1701897760342000000,11.200000244140625,-22.445484161376953
1701897760442000000,11.299999755859375,-24.441020965576172
1701897760542000000,11.400000244140625,-24.27506446838379
1701897760641000000,11.499,-27.6231632232666
1701897760758000000,11.616000244140626,-25.932615280151367
1701897760858000000,11.715999755859375,-28.38675308227539
1701897760958000000,11.816000244140625,-31.048532485961914
1701897761057000000,11.915,-25.00238609313965
1701897761174000000,12.032000244140624,-27.56787872314453
1701897761274000000,12.131999755859376,-28.305416107177734
1701897761373000000,12.231,-30.37535285949707
1701897761474000000,12.331999755859375,-30.321674346923828
1701897761574000000,12.432000244140625,-31.5821590423584
1701897761690000000,12.547999755859376,-33.21214294433594
1701897761789000000,12.647,-29.356157302856445
1701897761889000000,12.747,-26.276384353637695
1701897761989000000,12.847,-28.061935424804688
1701897762106000000,12.963999755859374,-30.183683395385742
1701897762205000000,13.063,-28.43019676208496
1701897762305000000,13.163,-26.223674774169922
1701897762422000000,13.280000244140625,-22.90687370300293
1701897762522000000,13.379999755859375,-25.14152717590332
1701897762622000000,13.480000244140625,-27.99717140197754
1701897762721000000,13.579,-30.866300582885742
1701897762838000000,13.696000244140626,-33.53107833862305
1701897762938000000,13.795999755859375,-35.139339447021484
1701897763038000000,13.896000244140625,-27.796945571899414
1701897763137000000,13.995,-21.788820266723633
1701897763237000000,14.095,-25.185882568359375
1701897763354000000,14.211999755859376,-23.935884475708008
1701897763454000000,14.312000244140625,-25.103952407836914
1701897763554000000,14.411999755859375,-28.160747528076172
1701897763653000000,14.511,-27.552934646606445
1701897763770000000,14.627999755859374,-23.390857696533203
1701897763870000000,14.728000244140626,-22.38821029663086
1701897763969000000,14.827,-26.46384620666504
1701897764069000000,14.927,-24.76303482055664
1701897764186000000,15.043999755859375,-25.178512573242188
1701897764286000000,15.144000244140624,-27.174100875854492
1701897764385000000,15.243,-30.16683578491211
1701897764485000000,15.343,-26.861492156982422
1701897764602000000,15.459999755859375,-27.853364944458008
1701897764702000000,15.560000244140625,-28.3092098236084
1701897764801000000,15.659,-28.65306854248047
1701897764901000000,15.759,-25.2611083984375
1701897765018000000,15.875999755859375,-27.14203453063965
1701897765118000000,15.976000244140625,-29.952892303466797
1701897765217000000,16.075,-30.285573959350586
1701897765317000000,16.175,-28.80348014831543
1701897765434000000,16.291999755859376,-26.84523582458496
1701897765534000000,16.392000244140625,-29.314552307128906
1701897765634000000,16.491999755859375,-31.155363082885742
1701897765734000000,16.592000244140625,-28.032081604003906
1701897765850000000,16.707999755859376,-24.77747344970703
1701897765950000000,16.808000244140626,-27.35527801513672
1701897766049000000,16.907,-27.047073364257812
1701897766149000000,17.007,-25.473146438598633
1701897766266000000,17.123999755859376,-23.500015258789062
1701897766366000000,17.224000244140626,-25.781639099121094
1701897766466000000,17.323999755859376,-27.138341903686523
1701897766565000000,17.423,-28.2142391204834
1701897766682000000,17.539999755859377,-22.260910034179688
1701897766782000000,17.640000244140627,-24.300662994384766
1701897766882000000,17.739999755859376,-26.31656265258789
1701897766981000000,17.839,-20.093978881835938
1701897767098000000,17.955999755859374,-21.967636108398438
1701897767198000000,18.056000244140623,-25.291181564331055
1701897767297000000,18.155,-26.687959671020508
1701897767397000000,18.255,-28.898483276367188
1701897767514000000,18.371999755859374,-32.869754791259766
1701897767614000000,18.472000244140624,-34.788612365722656
1701897767714000000,18.571999755859373,-32.25751495361328
1701897767813000000,18.671,-31.888431549072266
1701897767930000000,18.787999755859374,-24.129228591918945
1701897768030000000,18.888000244140624,-27.6103572845459
1701897768130000000,18.987999755859374,-27.261974334716797
1701897768229000000,19.087,-24.29588508605957
1701897768346000000,19.203999755859375,-16.834678649902344
1701897768446000000,19.304000244140624,-20.403728485107422
1701897768546000000,19.403999755859374,-24.657865524291992
1701897768645000000,19.503,-28.09457778930664
1701897768745000000,19.603,-30.41249656677246
1701897768862000000,19.720000244140625,-33.38448715209961
1701897768962000000,19.819999755859374,-34.87795639038086
1701897769062000000,19.920000244140624,-36.33175277709961
1701897769161000000,20.019,-24.14211654663086
1701897769278000000,20.136000244140625,-24.35123634338379
1701897769378000000,20.235999755859375,-27.831470489501953
1701897769478000000,20.336000244140624,-30.514894485473633
1701897769594000000,20.451999755859376,-25.07901954650879
1701897769702000000,20.560000244140625,-24.080411911010742
1701897769810000000,20.667999755859373,-22.985448837280273
1701897769927000000,20.785,-21.61599349975586
1701897770027000000,20.885,-24.57623291015625
1701897770126000000,20.984000244140624,-25.816247940063477
1701897770243000000,21.101,-25.725078582763672
1701897770343000000,21.201,-27.542835235595703
1701897770443000000,21.301,-23.19786262512207
1701897770542000000,21.400000244140625,-23.809968948364258
1701897770642000000,21.499999755859374,-26.30396842956543
1701897770759000000,21.617,-27.11888885498047
1701897770859000000,21.717,-25.388277053833008
1701897770958000000,21.816000244140625,-20.46390151977539
1701897771058000000,21.915999755859374,-19.368093490600586
1701897771175000000,22.033,-23.58882713317871
1701897771275000000,22.133,-27.061838150024414
1701897771374000000,22.232000244140625,-21.425901412963867
1701897771491000000,22.349,-24.885440826416016
1701897771591000000,22.449,-25.41436195373535
1701897771691000000,22.549,-23.322338104248047
1701897771791000000,22.649,-23.50168228149414
1701897771891000000,22.749,-25.428020477294922
1701897772007000000,22.865,-29.076810836791992
1701897772107000000,22.965,-23.536527633666992
1701897772206000000,23.064000244140626,-23.799560546875
1701897772323000000,23.181,-27.09947395324707
1701897772423000000,23.281,-29.89760398864746
1701897772523000000,23.381,-23.371509552001953
1701897772622000000,23.480000244140626,-21.456214904785156
1701897772722000000,23.579999755859376,-23.77689552307129
1701897772839000000,23.697,-24.36430549621582
1701897772939000000,23.797,-25.19169807434082
1701897773039000000,23.897,-22.108064651489258
1701897773155000000,24.013,-25.80595588684082
1701897773255000000,24.113,-29.37971305847168
1701897773355000000,24.213,-33.15291976928711
1701897773455000000,24.313,-35.136619567871094
1701897773554000000,24.411999755859377,-37.28870391845703
1701897773671000000,24.529,-34.666133880615234
1701897773771000000,24.629,-37.5846061706543
1701897773871000000,24.729,-34.15013122558594
1701897773971000000,24.829,-35.905582427978516
1701897774087000000,24.945,-35.68748474121094
1701897774187000000,25.045,-36.51457595825195
1701897774287000000,25.145,-25.371183395385742
1701897774386000000,25.243999755859374,-26.510574340820312
1701897774503000000,25.361,-19.48675537109375
1701897774603000000,25.461,-23.00810432434082
1701897774703000000,25.561,-24.899961471557617
1701897774802000000,25.659999755859374,-23.787830352783203
1701897774919000000,25.777,-27.48796844482422
1701897775019000000,25.877,-24.697107315063477
1701897775119000000,25.977,-25.986568450927734
1701897775218000000,26.075999755859375,-23.552623748779297
1701897775335000000,26.193,-21.641132354736328
1701897775435000000,26.293,-24.379329681396484
1701897775535000000,26.393,-21.954883575439453
1701897775634000000,26.491999755859375,-22.171281814575195
1701897775751000000,26.609,-20.219205856323242
1701897775851000000,26.709,-23.3197021484375
1701897775951000000,26.809,-22.232608795166016
1701897776050000000,26.907999755859375,-25.46697235107422
1701897776167000000,27.025,-26.037057876586914
1701897776267000000,27.125,-28.810832977294922
1701897776367000000,27.225,-24.953397750854492
1701897776466000000,27.323999755859376,-22.29900550842285
1701897776583000000,27.441,-23.79710578918457
1701897776683000000,27.541,-26.080829620361328
1701897776783000000,27.641,-29.153966903686523
1701897776882000000,27.739999755859376,-29.245677947998047
1701897776999000000,27.857,-26.849681854248047
1701897777099000000,27.957,-26.145689010620117
1701897777199000000,28.057,-18.585407257080078
1701897777299000000,28.157,-22.234466552734375
1701897777399000000,28.257,-23.99559783935547
1701897777515000000,28.373,-26.779184341430664
1701897777615000000,28.473,-24.92915153503418
1701897777714000000,28.571999755859373,-21.793174743652344
1701897777831000000,28.689,-23.640708923339844
1701897777931000000,28.789,-26.11029052734375
1701897778031000000,28.889,-26.741941452026367
1701897778131000000,28.989,-29.034351348876953
1701897778247000000,29.105,-21.16533088684082
1701897778347000000,29.205,-22.097501754760742
1701897778447000000,29.305,-24.980762481689453
1701897778546000000,29.403999755859374,-26.113187789916992
1701897778663000000,29.521,-27.57400131225586
1701897778763000000,29.621,-30.6282901763916
1701897778863000000,29.721,-33.310909271240234
1701897778963000000,29.821,-23.28424835205078
1701897779063000000,29.921,-21.255525588989258
1701897779179000000,30.037,-25.569616317749023
1701897779279000000,30.137,-28.15929412841797
1701897779379000000,30.237,-31.62751579284668
1701897779495000000,30.353,-34.30046463012695
1701897779595000000,30.453,-31.42592430114746
1701897779695000000,30.553,-22.214109420776367
1701897779795000000,30.653,-23.00606918334961
1701897779911000000,30.769,-22.621829986572266
1701897780019000000,30.877,-23.03785514831543
1701897780128000000,30.986,-26.463830947875977
1701897780244000000,31.102,-25.824438095092773
1701897780344000000,31.202,-25.62199592590332
1701897780444000000,31.302,-23.731414794921875
1701897780543000000,31.401,-24.929227828979492
1701897780660000000,31.518,-26.969675064086914
1701897780760000000,31.618,-23.146989822387695
1701897780860000000,31.718,-25.29928207397461
1701897780959000000,31.817,-24.80414581298828
1701897781076000000,31.934,-25.15892219543457
1701897781176000000,32.034,-27.87117576599121
1701897781292000000,32.15,-27.476566314697266
1701897781392000000,32.25,-25.786413192749023
1701897781495000000,32.353,-28.57088851928711
1701897781608000000,32.466,-31.772619247436523
1701897781725000000,32.583,-33.80485916137695
1701897781825000000,32.683,-32.793209075927734
1701897781941000000,32.799,-33.988494873046875
1701897782041000000,32.899,-35.39002227783203
1701897782141000000,32.999,-36.16840362548828
1701897782241000000,33.099,-34.992286682128906
1701897782357000000,33.215,-35.035213470458984
1701897782457000000,33.315,-29.3280086517334
1701897782557000000,33.415,-24.17600440979004
1701897782657000000,33.515,-23.020998001098633
1701897782756000000,33.614,-24.867294311523438
1701897782873000000,33.731,-27.409809112548828
1701897782973000000,33.831,-26.905567169189453
1701897783073000000,33.931,-24.648923873901367
1701897783173000000,34.031,-19.628803253173828
1701897783289000000,34.147,-20.986845016479492
1701897783389000000,34.247,-25.179109573364258
1701897783489000000,34.347,-28.70764923095703
1701897783605000000,34.463,-31.638160705566406
1701897783705000000,34.563,-34.55214309692383
1701897783805000000,34.663,-34.74736404418945
1701897783905000000,34.763,-36.416221618652344
1701897784021000000,34.879,-25.617830276489258
1701897784121000000,34.979,-23.180559158325195
1701897784221000000,35.079,-17.919950485229492
1701897784321000000,35.179,-20.163244247436523
1701897784437000000,35.295,-22.95740509033203
1701897784537000000,35.395,-23.45588493347168
1701897784637000000,35.495,-23.520639419555664
1701897784737000000,35.595,-25.96695899963379
1701897784853000000,35.711,-25.732118606567383
1701897784953000000,35.811,-24.927318572998047
1701897785053000000,35.911,-26.24336051940918
1701897785153000000,36.011,-29.666704177856445
1701897785252000000,36.11,-27.86081886291504
1701897785369000000,36.227,-31.424375534057617
1701897785469000000,36.327,-21.90582275390625
1701897785569000000,36.427,-23.755889892578125
1701897785685000000,36.543,-23.767024993896484
1701897785785000000,36.643,-24.390609741210938
1701897785885000000,36.743,-25.857982635498047
1701897785985000000,36.843,-25.37696647644043
1701897786101000000,36.959,-24.917573928833008
1701897786210000000,37.067999755859375,-28.386140823364258
1701897786318000000,37.176000244140624,-31.56229591369629
1701897786434000000,37.29199975585937,-23.764080047607422
1701897786534000000,37.392000244140625,-25.1080265045166
1701897786634000000,37.491999755859375,-28.851341247558594
1701897786750000000,37.60800024414063,-22.90601921081543
1701897786850000000,37.707999755859376,-20.741640090942383
1701897786950000000,37.80800024414062,-22.81275749206543
1701897787049000000,37.907,-24.549745559692383
1701897787166000000,38.02400024414062,-28.22913360595703
1701897787266000000,38.12399975585937,-24.178836822509766
1701897787366000000,38.224000244140626,-24.724681854248047
1701897787466000000,38.323999755859376,-24.85660171508789
1701897787582000000,38.44000024414063,-28.263656616210938
1701897787682000000,38.53999975585938,-24.77454948425293
1701897787782000000,38.64000024414062,-28.224218368530273
1701897787882000000,38.73999975585937,-29.990095138549805
1701897787998000000,38.856000244140624,-29.55961799621582
1701897788098000000,38.955999755859374,-28.64827537536621
1701897788198000000,39.05600024414063,-30.871383666992188
1701897788298000000,39.155999755859376,-34.288875579833984
1701897788414000000,39.27200024414063,-37.00598907470703
1701897788514000000,39.37199975585938,-34.383792877197266
1701897788614000000,39.472000244140624,-37.29881286621094
1701897788714000000,39.57199975585937,-34.881046295166016
1701897788813000000,39.671,-36.48624801635742
1701897788930000000,39.787999755859374,-35.432403564453125
1701897789030000000,39.88800024414063,-33.17560577392578
1701897789130000000,39.98799975585938,-23.147960662841797
1701897789246000000,40.10400024414062,-18.983753204345703
1701897789346000000,40.20399975585938,-19.44493293762207
1701897789446000000,40.304000244140624,-21.192411422729492
1701897789546000000,40.403999755859374,-23.12578582763672
1701897789646000000,40.50400024414063,-24.67828941345215
1701897789762000000,40.619999755859375,-28.00406265258789
1701897789862000000,40.72000024414063,-23.91217613220215
1701897789962000000,40.81999975585938,-26.1883544921875
1701897790062000000,40.920000244140624,-26.87520980834961
1701897790178000000,41.03599975585937,-22.83209800720215
1701897790278000000,41.136000244140625,-26.627708435058594
1701897790378000000,41.235999755859375,-26.136123657226562
1701897790478000000,41.33600024414063,-26.3643856048584
1701897790594000000,41.451999755859376,-28.475543975830078
1701897790694000000,41.55200024414062,-25.21330451965332
1701897790794000000,41.65199975585937,-23.975679397583008
1701897790910000000,41.76800024414062,-25.201393127441406
1701897791010000000,41.86799975585937,-22.24941635131836
1701897791110000000,41.968000244140626,-25.534700393676758
1701897791226000000,42.083999755859374,-24.831449508666992
1701897791326000000,42.18400024414063,-25.029876708984375
1701897791426000000,42.28399975585938,-28.762210845947266
1701897791526000000,42.38400024414062,-31.660139083862305
1701897791643000000,42.501,-22.1348876953125
1701897791742000000,42.600000244140624,-23.740903854370117
1701897791842000000,42.69999975585937,-26.718900680541992
1701897791942000000,42.80000024414063,-24.51676368713379
1701897792058000000,42.915999755859374,-22.234682083129883
1701897792158000000,43.01600024414063,-23.781709671020508
1701897792258000000,43.11599975585938,-26.270463943481445
1701897792374000000,43.23200024414062,-22.05262565612793
1701897792474000000,43.33199975585938,-25.89495277404785
1701897792574000000,43.432000244140625,-28.66432762145996
1701897792674000000,43.531999755859374,-23.046939849853516
1701897792790000000,43.648000244140626,-22.027448654174805
1701897792890000000,43.747999755859375,-22.84516716003418
1701897792989000000,43.847,-24.006437301635742
1701897793090000000,43.94799975585938,-25.461336135864258
1701897793206000000,44.06400024414062,-25.25860023498535
1701897793306000000,44.16399975585937,-22.15283203125
1701897793406000000,44.264000244140625,-24.113731384277344
1701897793506000000,44.363999755859375,-27.487823486328125
1701897793606000000,44.46400024414063,-26.11178207397461
1701897793706000000,44.56399975585938,-27.933883666992188
1701897793822000000,44.68000024414062,-31.876373291015625
1701897793922000000,44.77999975585937,-32.97207260131836
1701897794022000000,44.880000244140625,-27.494592666625977
1701897794122000000,44.979999755859374,-27.213489532470703
1701897794238000000,45.096000244140626,-25.861631393432617
1701897794338000000,45.195999755859376,-23.060441970825195
1701897794438000000,45.29600024414062,-25.294893264770508
1701897794538000000,45.39599975585938,-22.470918655395508
1701897794638000000,45.496000244140625,-25.46904754638672
1701897794754000000,45.61199975585937,-26.472566604614258
1701897794854000000,45.712000244140626,-27.112186431884766
1701897794954000000,45.811999755859375,-23.774423599243164
1701897795070000000,45.92800024414063,-22.215375900268555
1701897795170000000,46.027999755859376,-25.546754837036133
1701897795270000000,46.12800024414062,-28.668479919433594
1701897795370000000,46.22799975585937,-30.779035568237305
1701897795470000000,46.328000244140625,-23.9976863861084
1701897795586000000,46.44399975585937,-22.0941104888916
1701897795686000000,46.544000244140626,-23.13018035888672
1701897795786000000,46.643999755859376,-26.69622039794922
1701897795886000000,46.74400024414062,-25.442768096923828
1701897795986000000,46.84399975585937,-27.200246810913086
1701897796102000000,46.96000024414062,-26.24614715576172
1701897796202000000,47.05999975585937,-27.059188842773438
1701897796302000000,47.160000244140626,-26.97523307800293
1701897796402000000,47.259999755859376,-28.018016815185547
1701897796518000000,47.37600024414063,-24.548669815063477
1701897796618000000,47.47599975585938,-26.292800903320312
1701897796718000000,47.57600024414062,-29.5183048248291
1701897796818000000,47.67599975585937,-31.944807052612305
1701897796934000000,47.792000244140624,-34.97090148925781
1701897797034000000,47.89199975585937,-36.101558685302734
1701897797134000000,47.99200024414063,-35.019187927246094
1701897797234000000,48.091999755859376,-24.606237411499023
1701897797350000000,48.20800024414063,-20.07207489013672
1701897797450000000,48.30799975585938,-22.359376907348633
1701897797559000000,48.417,-24.009939193725586
1701897797667000000,48.525,-26.61648178100586
1701897797783000000,48.641,-30.52013397216797
1701897797883000000,48.741,-25.454593658447266
1701897797983000000,48.841,-25.577434539794922
1701897798099000000,48.957,-28.65835952758789
1701897798199000000,49.057,-27.380006790161133
1701897798299000000,49.157,-25.022491455078125
1701897798399000000,49.257,-27.035120010375977
1701897798515000000,49.373,-25.44804573059082
1701897798615000000,49.473,-27.576215744018555
1701897798715000000,49.573,-29.8809814453125
1701897798815000000,49.673,-29.041696548461914
1701897798931000000,49.789,-27.923830032348633
1701897799031000000,49.889,-29.862932205200195
1701897799131000000,49.989,-32.615272521972656
1701897799231000000,50.089,-34.59096145629883
1701897799331000000,50.189,-35.24079513549805
1701897799447000000,50.305,-37.89215087890625
1701897799547000000,50.405,-31.48122215270996
1701897799647000000,50.505,-33.77564239501953
1701897799747000000,50.605,-35.4678955078125
1701897799863000000,50.721,-35.868770599365234
1701897799963000000,50.821,-37.88574981689453
1701897800063000000,50.921,-38.863563537597656
1701897800163000000,51.021,-33.870601654052734
1701897800279000000,51.137,-34.84442901611328
1701897800379000000,51.237,-35.43583679199219
1701897800479000000,51.337,-37.62534713745117
1701897800579000000,51.437,-35.55617904663086
1701897800679000000,51.537,-37.02295684814453
1701897800795000000,51.653,-38.50596237182617
1701897800896000000,51.754,-36.04547119140625
1701897800995000000,51.853,-33.46046447753906
1701897801095000000,51.953,-33.67081069946289
